Customer ID,No_of_Months_Transac,Total_Qty,Number_of_Item_Types,Max_Item_UnitPrice,Min_Item_UnitPrice,Median_Item_UnitPrice,Last_Purchase_Date,First_Purchase_Date,Avg_Transaction_Per_Mth,Avg_Spending_Per_Mth,Ratio_Transaction_Per_Unique_Mth,Ratio_Spending_Per_Unique_Mth,Avg_Spending_Per_Inv,Avg_Purchase_Qty_Per_Inv,Avg_Item_Types_Per_Inv,Recency,Frequency,Monetary,Tenure,Customer_Country_Belgium,Customer_Country_France,Customer_Country_Germany,Customer_Country_Italy,Customer_Country_Netherlands,Customer_Country_Other Countries,Customer_Country_Portugal,Customer_Country_Spain,Customer_Country_Sweden,Customer_Country_Switzerland,Customer_Country_United Kingdom
12346.0,5,74285,26,7.49,1.0,7.49,2011-01-18,2009-12-14,0.48,3102.2584,2.4,15511.292000000001,6463.038333333334,6190.416666666667,2.1666666666666665,326,12,77556.46,726,0,0,0,0,0,0,0,0,0,0,1
12347.0,8,2967,126,12.75,0.25,1.95,2011-12-07,2010-10-31,0.32,196.86119999999985,1.0,615.1912499999995,615.1912499999995,370.875,15.75,3,8,4921.529999999996,405,0,0,0,0,0,1,0,0,0,0,0
12348.0,5,2714,28,40.0,0.29,0.55,2011-09-25,2010-09-27,0.2,80.77600000000001,1.0,403.88,403.88,542.8,5.6,76,5,2019.4,439,0,0,0,0,0,1,0,0,0,0,0
12349.0,4,1624,145,300.0,0.42,2.55,2011-11-21,2010-04-29,0.16,177.1476000000001,1.0,1107.1725000000006,1107.1725000000006,406.0,36.25,19,4,4428.690000000002,590,0,0,0,1,0,0,0,0,0,0,0
12350.0,1,197,17,40.0,0.85,1.65,2011-02-02,2011-02-02,0.04,13.376000000000001,1.0,334.40000000000003,334.40000000000003,197.0,17.0,311,1,334.40000000000003,311,0,0,0,0,0,1,0,0,0,0,0
12351.0,1,261,21,12.75,0.42,1.69,2010-11-29,2010-11-29,0.04,12.0372,1.0,300.93,300.93,261.0,21.0,376,1,300.93,376,0,0,0,0,0,1,0,0,0,0,0
12352.0,5,724,70,376.5,0.65,3.75,2011-11-03,2010-11-12,0.4,113.99360000000006,2.0,569.9680000000003,284.98400000000015,72.4,7.0,37,10,2849.8400000000015,393,0,0,0,0,0,1,0,0,0,0,0
12353.0,2,212,23,9.95,0.42,1.65,2011-05-19,2010-10-27,0.08,16.2704,1.0,203.38,203.38,106.0,11.5,205,2,406.76,409,0,0,0,0,0,1,0,0,0,0,0
12354.0,1,530,58,16.95,0.42,2.95,2011-04-21,2011-04-21,0.04,43.176,1.0,1079.4,1079.4,530.0,58.0,233,1,1079.4,233,0,0,0,0,0,0,0,1,0,0,0
12355.0,2,543,35,12.75,0.42,1.65,2011-05-09,2010-05-21,0.08,37.9044,1.0,473.805,473.805,271.5,17.5,215,2,947.61,568,0,0,0,0,0,1,0,0,0,0,0
12356.0,5,3416,104,28.0,0.36,1.45,2011-11-17,2010-10-11,0.24,254.8691999999998,1.2,1274.345999999999,1061.9549999999992,569.3333333333334,17.333333333333332,23,6,6371.729999999995,425,0,0,0,0,0,0,1,0,0,0,0
12357.0,2,6587,264,850.0,0.39,2.4,2011-11-06,2010-11-16,0.12,731.5063999999998,1.5,9143.829999999996,6095.8866666666645,2195.6666666666665,88.0,34,3,18287.659999999993,389,0,0,0,0,0,0,0,0,0,1,0
12358.0,5,1079,56,40.0,0.39,2.95,2011-12-08,2009-12-08,0.2,155.4828000000001,1.0,777.4140000000006,777.4140000000006,215.8,11.2,2,5,3887.070000000003,732,0,0,0,0,0,1,0,0,0,0,0
12359.0,8,2739,310,145.0,0.29,3.95,2011-10-13,2009-12-05,0.4,354.93559999999974,1.25,1109.1737499999992,887.3389999999994,273.9,31.0,58,10,8873.389999999994,735,0,0,0,0,0,1,0,0,0,0,0
12360.0,7,2459,163,40.0,0.12,1.65,2011-10-18,2010-02-22,0.32,170.1156,1.1428571428571428,607.5557142857143,531.61125,307.375,20.375,53,8,4252.89,656,0,0,0,0,0,1,0,0,0,0,0
12361.0,4,235,19,15.0,1.65,1.95,2011-02-25,2010-01-26,0.16,20.45,1.0,127.81249999999999,127.81249999999999,58.75,4.75,288,4,511.24999999999994,683,1,0,0,0,0,0,0,0,0,0,0
12362.0,9,2230,201,130.0,0.12,2.55,2011-12-06,2009-12-01,0.44,214.2492000000001,1.2222222222222223,595.1366666666669,486.93000000000023,202.72727272727272,18.272727272727273,4,11,5356.230000000002,739,1,0,0,0,0,0,0,0,0,0,0
12363.0,2,408,23,7.95,0.55,1.45,2011-08-22,2011-04-11,0.08,22.08,1.0,276.0,276.0,204.0,11.5,110,2,552.0,243,0,0,0,0,0,1,0,0,0,0,0
12364.0,4,1506,70,15.0,0.36,0.85,2011-12-02,2011-08-19,0.16,52.52400000000001,1.0,328.27500000000003,328.27500000000003,376.5,17.5,8,4,1313.1000000000001,113,1,0,0,0,0,0,0,0,0,0,0
12365.0,1,174,22,320.69,0.42,2.3,2011-02-21,2011-02-21,0.08,25.6552,2.0,641.38,320.69,87.0,11.0,292,2,641.38,292,0,0,0,0,0,1,0,0,0,0,0
12366.0,1,296,3,1.69,1.69,1.69,2010-03-16,2010-03-16,0.04,20.0096,1.0,500.24,500.24,296.0,3.0,634,1,500.24,634,0,0,0,0,0,1,0,0,0,0,0
12367.0,1,173,11,18.0,0.21,1.95,2011-12-05,2011-12-05,0.04,6.756,1.0,168.9,168.9,173.0,11.0,5,1,168.9,5,0,0,0,0,0,1,0,0,0,0,0
12368.0,1,330,18,14.95,0.85,2.75,2010-03-21,2010-03-21,0.04,36.708,1.0,917.7,917.7,330.0,18.0,629,1,917.7,629,0,0,0,0,0,1,0,0,0,0,0
12369.0,3,1241,90,40.0,0.42,1.65,2010-10-22,2010-03-08,0.12,71.646,1.0,597.0500000000001,597.0500000000001,413.6666666666667,30.0,414,3,1791.15,642,0,0,0,0,0,1,0,0,0,0,0
12370.0,5,2604,170,40.0,0.21,2.55,2011-10-19,2010-02-09,0.28,172.6623999999999,1.4,863.3119999999996,616.6514285714283,372.0,24.285714285714285,52,7,4316.559999999998,669,0,0,0,0,0,1,0,0,0,0,0
12371.0,3,1436,136,40.0,0.39,2.95,2011-10-26,2010-03-04,0.2,162.69519999999994,1.6666666666666667,1355.7933333333328,813.4759999999997,287.2,27.2,45,5,4067.3799999999983,646,0,0,0,0,0,0,0,0,0,1,0
12372.0,3,794,34,18.0,0.42,1.95,2011-09-29,2011-02-16,0.12,51.921600000000005,1.0,432.68000000000006,432.68000000000006,264.6666666666667,11.333333333333334,72,3,1298.0400000000002,297,0,0,0,0,0,1,0,0,0,0,0
12373.0,3,516,38,40.0,0.85,1.95,2011-02-01,2010-02-04,0.12,45.106,1.0,375.8833333333334,375.8833333333334,172.0,12.666666666666666,312,3,1127.65,674,0,0,0,0,0,1,0,0,0,0,0
12374.0,3,1362,80,40.0,0.42,1.95,2011-11-14,2010-04-30,0.16,119.56880000000002,1.3333333333333333,996.4066666666669,747.3050000000002,340.5,20.0,26,4,2989.2200000000007,589,0,0,0,0,0,1,0,0,0,0,0
12375.0,2,178,14,40.0,0.85,2.08,2011-11-29,2011-09-02,0.08,18.300000000000004,1.0,228.75000000000006,228.75000000000006,89.0,7.0,11,2,457.5000000000001,99,0,0,0,0,0,1,0,0,0,0,0
12376.0,2,240,11,40.0,0.85,2.1,2010-11-15,2010-10-18,0.08,20.125999999999998,1.0,251.575,251.575,120.0,5.5,390,2,503.15,418,0,0,0,0,0,0,0,0,0,1,0
12377.0,4,2105,129,40.0,0.21,1.95,2011-01-28,2010-04-29,0.16,137.0527999999999,1.0,856.5799999999995,856.5799999999995,526.25,32.25,316,4,3426.319999999998,590,0,0,0,0,0,0,0,0,0,1,0
12378.0,2,3316,295,39.95,0.21,1.95,2011-08-02,2010-05-26,0.08,216.65279999999998,1.0,2708.16,2708.16,1658.0,147.5,130,2,5416.32,563,0,0,0,0,0,0,0,0,0,1,0
12379.0,4,815,64,15.0,0.42,1.65,2011-09-19,2010-06-23,0.16,64.8088,1.0,405.055,405.055,203.75,16.0,82,4,1620.22,535,1,0,0,0,0,0,0,0,0,0,0
12380.0,8,3355,179,1508.65,0.29,2.1,2011-11-18,2010-02-15,0.44,387.052,1.375,1209.5375000000001,879.6636363636364,305.0,16.272727272727273,22,11,9676.300000000001,663,1,0,0,0,0,0,0,0,0,0,0
12381.0,4,808,70,40.0,0.39,2.1,2011-12-05,2011-08-12,0.2,73.81240000000003,1.25,461.32750000000016,369.0620000000001,161.6,14.0,5,5,1845.3100000000006,120,0,0,0,0,0,1,0,0,0,0,0
12383.0,5,1532,84,18.0,0.12,1.25,2011-06-08,2010-12-22,0.2,74.02239999999999,1.0,370.11199999999997,370.11199999999997,306.4,16.8,185,5,1850.5599999999997,353,1,0,0,0,0,0,0,0,0,0,0
12384.0,2,126,26,40.0,0.83,4.95,2011-11-11,2011-08-10,0.08,23.410800000000005,1.0,292.63500000000005,292.63500000000005,63.0,13.0,29,2,585.2700000000001,122,0,0,0,0,0,0,0,0,0,1,0
12385.0,1,612,65,15.0,0.85,2.25,2010-11-25,2010-11-25,0.04,77.536,1.0,1938.3999999999999,1938.3999999999999,612.0,65.0,380,1,1938.3999999999999,380,1,0,0,0,0,0,0,0,0,0,0
12386.0,2,354,10,6.75,0.36,1.45,2011-01-06,2010-12-08,0.08,16.076,1.0,200.95000000000002,200.95000000000002,177.0,5.0,338,2,401.90000000000003,367,0,0,0,0,0,1,0,0,0,0,0
12387.0,1,134,9,16.95,0.42,1.25,2010-10-20,2010-10-20,0.04,5.7576,1.0,143.94,143.94,134.0,9.0,416,1,143.94,416,0,0,0,0,0,1,0,0,0,0,0
12388.0,8,2001,84,11.15,0.19,2.92,2011-11-24,2010-05-06,0.32,156.04440000000005,1.0,487.63875000000013,487.63875000000013,250.125,10.5,16,8,3901.110000000001,583,0,0,0,0,0,1,0,0,0,0,0
12389.0,3,614,42,9.95,0.42,1.95,2010-11-02,2010-02-22,0.12,57.3332,1.0,477.77666666666664,477.77666666666664,204.66666666666666,14.0,403,3,1433.33,656,0,0,0,0,0,1,0,0,0,0,0
12390.0,1,353,32,16.95,0.42,2.1,2011-09-21,2011-09-21,0.04,21.9936,1.0,549.84,549.84,353.0,32.0,80,1,549.84,80,1,0,0,0,0,0,0,0,0,0,0
12391.0,4,1204,245,79.95,0.21,2.08,2011-11-18,2010-02-15,0.24,108.99359999999974,1.5,681.2099999999984,454.13999999999896,200.66666666666666,40.833333333333336,22,6,2724.839999999994,663,0,0,0,0,0,1,0,0,0,0,0
12392.0,1,73,7,9.95,1.25,4.25,2010-04-27,2010-04-27,0.04,9.390000000000002,1.0,234.75000000000006,234.75000000000006,73.0,7.0,592,1,234.75000000000006,592,0,0,0,0,0,1,0,0,0,0,0
12393.0,5,1311,65,12.75,0.55,1.65,2011-09-28,2010-10-07,0.24,95.97800000000001,1.2,479.89000000000004,399.90833333333336,218.5,10.833333333333334,73,6,2399.4500000000003,429,0,0,0,0,0,1,0,0,0,0,0
12394.0,2,819,26,18.0,0.72,1.69,2011-10-07,2011-05-06,0.08,50.8992,1.0,636.24,636.24,409.5,13.0,64,2,1272.48,218,1,0,0,0,0,0,0,0,0,0,0
12395.0,11,3205,151,39.95,0.19,1.95,2011-11-20,2010-04-16,0.6,188.84679999999986,1.3636363636363635,429.1972727272724,314.74466666666643,213.66666666666666,10.066666666666666,20,15,4721.169999999996,603,1,0,0,0,0,0,0,0,0,0,0
12396.0,1,591,65,10.95,0.65,1.45,2010-02-03,2010-02-03,0.04,37.257200000000026,1.0,931.4300000000006,931.4300000000006,591.0,65.0,675,1,931.4300000000006,675,0,0,0,0,0,1,0,0,0,0,0
12397.0,2,1263,110,16.95,0.29,1.95,2011-11-04,2011-07-27,0.08,96.39600000000002,1.0,1204.9500000000003,1204.9500000000003,631.5,55.0,36,2,2409.9000000000005,136,1,0,0,0,0,0,0,0,0,0,0
12398.0,1,1394,85,40.0,0.39,1.25,2011-10-25,2011-10-25,0.04,65.4264,1.0,1635.6599999999999,1635.6599999999999,1394.0,85.0,46,1,1635.6599999999999,46,0,0,0,0,0,0,0,0,0,1,0
12399.0,7,2198,70,15.0,0.14,0.85,2011-08-12,2010-03-05,0.28,78.49200000000005,1.0,280.3285714285716,280.3285714285716,314.0,10.0,120,7,1962.3000000000013,645,1,0,0,0,0,0,0,0,0,0,0
12400.0,1,91,11,4.95,0.85,2.55,2010-10-21,2010-10-21,0.04,8.21,1.0,205.25000000000003,205.25000000000003,91.0,11.0,415,1,205.25000000000003,415,0,0,0,0,0,1,0,0,0,0,0
12401.0,1,11,5,15.0,3.75,10.95,2011-02-09,2011-02-09,0.04,3.372,1.0,84.3,84.3,11.0,5.0,304,1,84.3,304,1,0,0,0,0,0,0,0,0,0,0
12402.0,6,584,43,15.0,0.85,1.95,2011-01-20,2010-02-07,0.24,50.27600000000001,1.0,209.48333333333338,209.48333333333338,97.33333333333333,7.166666666666667,324,6,1256.9000000000003,671,1,0,0,0,0,0,0,0,0,0,0
12403.0,2,260,8,18.0,3.39,4.15,2011-10-21,2010-07-06,0.08,40.7744,1.0,509.68,509.68,130.0,4.0,50,2,1019.36,522,0,0,0,0,0,1,0,0,0,0,0
12404.0,1,1,1,63.24,63.24,63.24,2010-01-26,2010-01-26,0.04,2.5296000000000003,1.0,63.24,63.24,1.0,1.0,683,1,63.24,683,0,0,0,0,0,1,0,0,0,0,0
12405.0,1,857,54,40.0,0.29,2.5700000000000003,2011-07-14,2011-07-14,0.04,68.41560000000003,1.0,1710.3900000000006,1710.3900000000006,857.0,54.0,149,1,1710.3900000000006,149,0,0,0,0,0,1,0,0,0,0,0
12406.0,5,3416,124,14.95,0.29,1.95,2011-11-17,2010-01-11,0.2,255.6143999999999,1.0,1278.0719999999997,1278.0719999999997,683.2,24.8,23,5,6390.359999999998,698,0,0,0,0,0,1,0,0,0,0,0
12407.0,4,1416,57,18.0,0.12,1.45,2011-10-21,2011-03-20,0.2,68.32479999999998,1.25,427.0299999999999,341.6239999999999,283.2,11.4,50,5,1708.1199999999997,265,1,0,0,0,0,0,0,0,0,0,0
12408.0,7,2229,104,34.95,0.12,1.95,2011-11-07,2010-07-29,0.32,173.63080000000008,1.1428571428571428,620.1100000000004,542.5962500000003,278.625,13.0,33,8,4340.770000000002,499,1,0,0,0,0,0,0,0,0,0,0
12409.0,6,13143,185,29.95,0.12,1.79,2011-09-22,2010-05-23,0.28,936.7715999999999,1.1666666666666667,3903.2149999999997,3345.6128571428567,1877.5714285714287,26.428571428571427,79,7,23419.289999999997,566,0,0,0,0,0,0,0,0,0,1,0
12410.0,2,341,37,40.0,0.42,2.95,2011-02-04,2010-07-25,0.12,40.548399999999994,1.5,506.85499999999996,337.9033333333333,113.66666666666667,12.333333333333334,309,3,1013.7099999999999,503,0,0,0,0,0,0,0,0,0,1,0
12411.0,1,138,22,9.95,0.85,2.1,2010-10-26,2010-10-26,0.04,13.876,1.0,346.9,346.9,138.0,22.0,410,1,346.9,410,0,0,0,0,0,1,0,0,0,0,0
12412.0,6,1997,84,18.0,0.18,1.25,2011-09-26,2010-06-18,0.24,103.87720000000007,1.0,432.82166666666694,432.82166666666694,332.8333333333333,14.0,75,6,2596.9300000000017,540,0,0,0,0,0,1,0,0,0,0,0
12413.0,4,319,41,29.95,0.65,3.75,2011-10-04,2010-11-02,0.16,39.977999999999994,1.0,249.86249999999998,249.86249999999998,79.75,10.25,67,4,999.4499999999999,403,0,0,0,0,0,0,0,1,0,0,0
12414.0,4,495,22,130.0,0.21,1.65,2011-05-06,2010-09-02,0.24,38.0964,1.5,238.10250000000002,158.735,82.5,3.6666666666666665,218,6,952.4100000000001,464,0,0,0,0,0,1,0,0,0,0,0
